OID_,OBJECTID_1,OBJECTID_2,RS,Partido,Localidad,Direccion,Establecim,CP,Tel,X,Y,CENTER_ID
,544,556,V,GENERAL SAN MARTIN,General San Martin,Juarez N° 3925,Residencia Para La Tercera Edad Paseo De Los Abuelos,1650, ,-58.535410400000004,-34.581270699999997,148
,545,557,V,GENERAL SAN MARTIN,Villa Ballester,Libertad N° 4291,Centro de Día CETAPSI SRL,1650, ,-58.548425999999999,-34.546944490000001,149
,546,558,V,GENERAL SAN MARTIN,General San Martin,Mafheu N° 4023,Clinica Privada Corporacion Medica De General San Martin,1650,011-47543416,-58.541343490000003,-34.577543100000000,150
,547,559,V,GENERAL SAN MARTIN,General San Martin,P.Peron N° 6055,Geriatrico San Martin Libertad,1650, ,-58.562568890000001,-34.588366000000001,151
,548,560,V,GENERAL SAN MARTIN,General San Martin,Ramon Falcon N° 3764,Centro Medico Para La Mujer,1650,011-47553966,-58.531388589999999,-34.563719100000000,152
,549,561,V,GENERAL SAN MARTIN,General San Martin,Ramon Falcon N° 3769,Centro Médico Falcón SRL,1650,011-47538222,-58.542616889999998,-34.573366989999997,153
,550,562,V,GENERAL SAN MARTIN,General San Martin,Tucuman N° 2428,Geriatrico Enna,1650, ,-58.543010299999999,-34.574930590000001,154
,551,563,V,GENERAL SAN MARTIN,General San Martin,Tucuman N° 2315,Policlinica Privada Zentrum S.A. Traumatologia Y Deportologia,1650,011-47132369,-58.541732900000000,-34.575815100000000,155
,552,564,V,GENERAL SAN MARTIN,General San Martin,Guido Spano N° 173,Residencia para Abuelos Lynch,1650, ,-58.522319990000000,-34.590025400000002,156
,553,565,V,GENERAL SAN MARTIN,General San Martin,Felix Ballester N° 2221,Consultorios de la Clínica Privada Corporación Médica Gral. San Martín,1650, ,-58.542258789999998,-34.577951890000001,157
,554,566,V,GENERAL SAN MARTIN,General San Martin,San Martin N°1141,Residencia Geriátrica La Mansión,1650, ,-58.528151299999998,-34.584506900000001,158
,555,567,V,GENERAL SAN MARTIN,General San Martin,Intendente Campos N° 1734,Clínica de ojos Santa Lucía,1650, ,-58.534153390000000,-34.579535399999997,159
,556,568,V,GENERAL SAN MARTIN,General San Martin,Pueyrredon N° 3658,VITAE,1650, ,-58.539616989999999,-34.574391190000000,160
,557,569,V,GENERAL SAN MARTIN,General San Martin,Intendente Campos N° 1839,Semedic SRL Consultorios Medicos,1650, ,-58.535147889999998,-34.578558489999999,161
,558,570,V,GENERAL SAN MARTIN,General San Martin,Pueyrredon N° 4197,Centro De Estimulacion Temprana La Ventana,1650, ,-58.543832090000002,-34.577915699999998,162
