OID_,OBJECTID_1,OBJECTID_2,NOMBRE,CODIGO,JURISDICCI,LOC,CP,DIRECCION,TEL,EMAIL,PARTIDO,RSAN_08,X,Y,CENTER_ID
,"1,243","1,344",C.ASIST. SANTA PAULA,"41,201,091",MUNI,José C. Paz,"1,665",Piñeyro N° 755,02320-447291, ,JOSE C. PAZ,V,-58.747388119999997,-34.505770380000001,25
,"1,244","1,345",C. ASIST. TRAILER TRAILER PIÑEYRO,"41,201,104",MUNI,José C. Paz,"1,665",Pedernera y Lacroce,02320-431127, ,JOSE C. PAZ,V,-58.768901929999998,-34.515966010000000,26
,"1,253","1,376",H. ODONTOLOGICO EVA Perón,"41,201,163",MUNI,José C. Paz,"1,665",Ruta 197 N° 3050,02320-422260, ,JOSE C. PAZ,V,-58.764447820000001,-34.524302659999996,27
,"1,254","1,377",DEPTO. MED. LABORAL,"41,201,121",MUNI,José C. Paz,"1,665",Hipólito Irigoyen N° 2945,02320-440511/517, ,JOSE C. PAZ,V,-58.763402380000002,-34.524102419999998,28
,"1,255","1,378",EMERGENCIAS Y TRASLADOS,"41,201,083",MUNI,José C. Paz,"1,665",Ruta 197 N° 2945 Planta Baja,02320-439300, ,JOSE C. PAZ,V,-58.763180060000003,-34.523968189999998,29
,"1,256","1,379",C. MOVIL ASIST. Salud para Mi Gente,"41,201,195",MUNI,José C. Paz,"1,665",Itinerante, , ,JOSE C. PAZ,V,-58.774853980000003,-34.516786920000001,30
,"1,257","1,380",LAB. MUN. Dr. Federico Leloir,"41,201,220",MUNI,José C. Paz,"1,665",Potosí N° 3286,02320-440519, ,JOSE C. PAZ,V,-58.767115429999997,-34.525193610000002,31
,"1,258","1,381",C.ASIST. Frino Sur,"41,201,269",MUNI,José C. Paz,"1,665",Quiroz esq. Ugarteche N° 1956,02320-465723, ,JOSE C. PAZ,V,-58.771517350000003,-34.506933480000001,32
,"1,259","2,335",C.P.A.(Com. de 1/2 Día)-Adicciones,"41,201,371",PROV,José C. Paz,"1,665",Rivadavia Nº 946 e/Piñeiro y 18 de Octubre,02320-425789,MATRRI27_23@hotmail.com,JOSE C. PAZ,V,-58.756567869999998,-34.511316559999997,33
,"1,260",0,U.P.A. 15,"41,201,380",PROV,José C. Paz,"1,665",Ayacucho e/ Lima y Naciones Unidas. Bo. Favaloro, , ,JOSE C. PAZ,V,-58.804697650000001,-34.518256350000001,34
,"1,261","1,386",U.A.P. 25 DE MAYO,"86,101,169",MUNI,Carapachay,"1,605",R. Obligado N° 5280,011-47639157/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.534489780000001,-34.518542359999998,35
,"1,269","1,574",U.A.P. DR. HECTOR LLOBERA,"86,101,061",MUNI,Villa  Martelli,"1,603",Estados Unidos N° 314,011-45131941/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.502500990000001,-34.546885199999998,36
,"1,270","1,575",U.S. DR. NEGRETE,"86,100,804",MUNI,Munro,"1,603",Rivera N° 6001,011-45806233/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.537377030000002,-34.541047740000003,37
,"1,271","1,576",U.A.P. MARCELINO,"86,101,037",MUNI,Florida,"1,602",Lavalle N° 1583,011-47969644, ,VICENTE LOPEZ,V,-58.480521500000002,-34.533151810000000,38
,"1,272","1,577",U.A.P. ARCURI,"86,101,274",MUNI,La Lucila,"1,636",Tucumán N° 3339,011-45139859/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.492896469999998,-34.503567120000000,39
,"1,273","1,578",U.A.P. BERMUDEZ,"86,101,118",MUNI,Florida,"1,602",Hipólito Yrigoyen N° 4601,011-45131950/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.522843510000001,-34.539345030000000,40
,"1,274","1,579",U.A.P. PAUL HARRIS,"86,101,258",MUNI,Munro,"1,603",Sargento Cabral N° 2880,011-45806240/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.518775300000001,-34.523968859999997,41
,"1,275","1,585",U.S. DR. RAVAZZOLI,"86,100,731",MUNI,Villa  Martelli,"1,603",Moldes N° 4900,011-45131942/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.517323920000003,-34.550590079999999,42
,"1,276","1,586",U.A.P. PADRE JOSE BARBERO,"86,101,088",MUNI,Munro,"1,603",Sivori N° 5050,011-45806230/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.526108139999998,-34.523766999999999,43
,"1,277","1,587",U.A.P. SARGENTO CABRAL,"86,101,045",MUNI,Munro,"1,603",Sargento Cabral N° 3221,011-45806235/47979320,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.522396579999999,-34.520508909999997,44
,"1,285","1,822",H.Z. DR. CETRANGOLO,"86,100,057",PROV,Florida,"1,602",Italia N° 1750,011-47918651, ,VICENTE LOPEZ,V,-58.489252540000003,-34.521308370000000,45
,"1,286","1,826",U.S. Dr. Axenfeld,"86,100,987",PROV,Florida,"1,602",A. Alsina N° 2465,011-45136449,atprimaria@vicentelopex.gov.ar,VICENTE LOPEZ,V,-58.489834279999997,-34.540042659999997,46
,"1,287","1,827",INST. MUN. BAJA VISION Y REHAB CIEGOS,"86,101,207",MUNI,Olivos,"1,636",M. J. Haedo N° 1426,011-47958006/45136399,atprimaria@vicentelopez.gov.ar,VICENTE LOPEZ,V,-58.479706270000001,-34.528285310000001,47
,"1,288","2,347",C.P.A. - Adicciones,"86,102,330",PROV,Vicente López,"1,602",Beiró Nº 95 y Bogado(Panamericana y Gral. Paz),011-45193716,institutobignone@yahoo.com.ar,VICENTE LOPEZ,V,-58.491769820000002,-34.544161420000002,48
,"1,289",0,DIR. GRAL. DE PROMOCION SOCIAL,"86,102,364",MUNI,Olivos,"1,636",AV. MAIPU 2510, , ,VICENTE LOPEZ,V,-58.489878990000001,-34.512256350000001,49
,"1,290",0,DIR. GRAL. DE JUVENTUD,"86,102,355",MUNI,Olivos,"1,636",AV. MAIPU 2510, , ,VICENTE LOPEZ,V,-58.489885190000003,-34.512246689999998,50
,"1,291",0,C.P.A.,"86,102,372",PROV,Vicente López,"1,602",Corrientes Nº 1442, , ,VICENTE LOPEZ,V,-58.488673620000000,-34.512816260000001,51
,"1,292",0,U.R.I. Ramón Carrillo,"86,102,347",MUNI,Florida,"1,602",Florentino Ameghino Nº 946, , ,VICENTE LOPEZ,V,-58.511778540000002,-34.543900299999997,52
,"1,322","1,506",U.S. DR. Esquivel (ex San Ambrosio),"56,000,384",MUNI,Trujui,"1,744",El Ceibo N° 2758 Bo. Lomas de Mariló,011-44680453, ,MORENO,VII,-58.730491669999999,-34.593445750000001,53
,"1,323","1,507",U.S. Santa Brigida,"56,000,201",MUNI,Trujui,"1,744",República  Argentina N° 716/80 Bo. Santa Brígida,02320-460585, ,MORENO,VII,-58.769013250000000,-34.566698809999998,54
,"1,324","1,508",U.S. Pavon (4 Vientos),"56,000,562",MUNI,Trujui,"1,744",Andinos N° 1311/13 Bo. Cuatro Vientos,0237-4816303, ,MORENO,VII,-58.765164009999999,-34.594923330000000,55
,"1,325","1,509",U.S. Las Flores,"56,000,228",MUNI,Trujui,"1,744",Federico Lacroce N° 3376 Bo. Las Flores,0237-4816285, ,MORENO,VII,-58.753393510000002,-34.598014999999997,56
,"1,326","1,510",U.S. La Reja C.,"56,000,406",MUNI,La Reja,"1,744",Alfonsina Storni N° 1476 Bo. La Reja Centro,0237-4626899, ,MORENO,VII,-58.825477090000000,-34.637587850000003,57
,"1,327","1,511",U.S. CORTEJARENA,"56,000,376",MUNI,La Reja,"1,744",Sófocles e/ Palma y La RiojaN° 1566  Bo. Cortejar*,0237-4662400, ,MORENO,VII,-58.831936960000000,-34.628255109999998,58
,"1,328","1,512",U.S. VA. Escobar,"56,000,554",MUNI,Francisco Alvarez,"1,746",Tito Livio N° 4502 Bo. Villa Escobar,0237-4873843, ,MORENO,VII,-58.872295119999997,-34.643793250000002,59
,"1,329","1,513",U.S. La Esperanza,"56,000,490",MUNI,Moreno,"1,744",Tupac Amarú N° 6302 Bo. Arturo Ullia,0237-4831336, ,MORENO,VII,-58.867492640000002,-34.572216550000000,60
,"1,330","1,514",U.S. Anderson,"56,000,210",MUNI,Cuartel V,"1,744",Discépolo N° 6702/8 Bo. Anderson,02320-454056,direccion-hmlv@ms.gba.gov.ar,MORENO,VII,-58.811039250000000,-34.528679910000001,61
,"1,331","1,515",U.S. Molina Campos,"56,000,074",MUNI,Moreno,"1,744",Juana de Ibarborou N° 9547 Bo. Irigoin,02320-451762, ,MORENO,VII,-58.810591440000003,-34.547868340000001,62
,"1,341","1,766",U.S. Altos de La Reja C.,"56,000,635",MUNI,La Reja,"1,746",Del Valle Indan y Perito Moreno, , ,MORENO,VII,-58.839902680000002,-34.651762400000003,63
,"1,342","1,767",U.S. Amancio Alcortao,"56,000,643",MUNI,Paso del Rey,"1,742",Saenz Peña N° 1860 Bo. Alcorta,0237-4636370, ,MORENO,VII,-58.779734410000003,-34.659656380000001,64
,"1,343","1,756",U.S. Parque Paso del Rey,"56,000,627",MUNI,Paso del Rey,"1,742",Beltrán N° 2631/53,0237-4681073, ,MORENO,VII,-58.755983139999998,-34.627001749999998,65
,"1,344","1,757",U.S. Bongiovani,"56,000,392",MUNI,Paso del Rey,"1,742",Remedios de Escalada N°4614/26 Bo. Bongiovanni,0237-4688809, ,MORENO,VII,-58.747083949999997,-34.624702790000001,66
,"1,345","1,758",U.S. 25 de Mayo,"56,000,368",MUNI,Moreno,"1,744",Los Araucanos N° 237,0237-4688804, ,MORENO,VII,-58.804763180000002,-34.600823660000003,67
,"1,346","1,759",U.S. Jose de San Martin,"56,000,449",MUNI,Moreno,"1,744",Perú N° 5160 Bo. Lomas de San José,0237-4688805, ,MORENO,VII,-58.792574510000001,-34.625731070000000,68
,"1,347","1,760",U.S. Los Paraisos,"56,000,520",MUNI,Moreno,"1,744",El Salvador N° 6626 Bo. Los Paraisos II,0237-4688811, ,MORENO,VII,-58.776423200000004,-34.618223239999999,69
,"1,348","1,761",U.S. La Perlita,"56,000,058",MUNI,Moreno,"1,744",12 de Octubre  N° 5569 Bo. La Perlita,0237-4687273, ,MORENO,VII,-58.784440920000002,-34.626873719999999,70
,"1,349","2,365",U.S. Francisco Alvarez,"56,000,015",MUNI,Francisco  Alvarez,"1,746",Moctezuma N° 508 Bo. La Tradición,0237-4871361, ,MORENO,VII,-58.772549490000003,-34.565881179999998,71
,"1,350","2,366",C.P.A. (GABA)-Adicciones,"56,000,929",PROV,Moreno,"1,744",Boulevar J.D.Perón Nº 1146,0237-4621026, ,MORENO,VII,-58.793661049999997,-34.655909889999997,72
,"1,360",0,C. DE S. MENTAL,"56,000,961",MUNI,Moreno,"1,744",Libertador 751, , ,MORENO,VII,-58.788144520000003,-34.641431519999998,73
,"1,361",0,P.S. EL VERGEL,"56,000,970",MUNI,Moreno,"1,744",Agote 6112 e/Vieytes y La Musica, , ,MORENO,VII,-58.843120910000003,-34.559125360000003,74
,"1,362","1,220",P.S. DR. RAMÓN CARRILLO,"84,000,420",MUNI,Villa Pineral,"1,678",Olavarría N°4099,011-46548547, ,TRES DE FEBRERO,VII,-58.572013349999999,-34.621070250000002,75
,"1,363","1,305",U.S. Nº 4,"84,000,101",MUNI,Villa Bosch,"1,682",Guido Espano N° 1171,011-48440790/4407, ,TRES DE FEBRERO,VII,-58.577710039999999,-34.586695980000002,76
,"1,364","1,306",U.S. Nº 5,"84,000,152",MUNI,Loma Hermosa,"1,657",Av. Churruca N° 9910,011-47690565, ,TRES DE FEBRERO,VII,-58.614470830000002,-34.564674979999999,77
,"1,365","1,307",U.S. Nº 6,"84,000,047",MUNI,Caseros,"1,678",Lavarden N° 4129 Derqui,011-47505823, ,TRES DE FEBRERO,VII,-58.553869089999999,-34.618778970000001,78
,"1,366","1,308",U.S. Nº 1,"84,000,012",MUNI,Ciudadela,"1,706",Gaceta de Buenos Aires N° 3550,011-46578465/0086, ,TRES DE FEBRERO,VII,-58.536104709999996,-34.637846349999997,79
,"1,367","1,309",U.S. Nº 2,"84,000,063",MUNI,José Ingenieros,"1,702",Marcelo T. de Alvear N° 598,011-47570662, ,TRES DE FEBRERO,VII,-58.541392440000003,-34.617164639999999,80
,"1,368","1,310",C. MUN. S. C.A.P.S. N° 10,"84,000,314",MUNI,Caseros,"1,678",Juan B. Alberdi N° 5030,011-47164000, ,TRES DE FEBRERO,VII,-58.567327710000001,-34.603086140000002,81
,"1,369","1,311",U.S. Nº 8 VA. MATHEU,"84,000,284",MUNI,Caseros,"1,678",J. Spandonari N° 739,011-47500453, ,TRES DE FEBRERO,VII,-58.576875149999999,-34.612418640000001,82
,"1,378","1,350",C. MUN. de la Salud,"84,000,527",MUNI,Caseros,"1,678",Juan B. Alberdi y Curapaligüe,011-47503388/7977, ,TRES DE FEBRERO,VII,-58.567371719999997,-34.603161159999999,83
,"1,379","1,362",H.Z.G.A. DR. RAMON CARRILLO,"84,000,021",PROV,Ciudadela,"1,702",H. Irigoyen N° 1051,011-46531061/65, ,TRES DE FEBRERO,VII,-58.549825710000000,-34.631141999999997,84
,"1,380","1,363",H.Z.G.A. DR. C. BOCALANDRO,"84,000,497",PROV,Loma Hermosa,"1,657","Ruta 8 Km. 20,5 N° 9100",011-48410219,gestionpaciente@gmail.com,TRES DE FEBRERO,VII,-58.602007209999996,-34.562962579999997,85
,"1,381","1,369",C. DE ZOONOSIS MUN.TRES DE FEBRERO,"84,000,519",MUNI,Caseros,"1,678",Juan B. Alberdi y Curapaligüe,011-47503388/7977, ,TRES DE FEBRERO,VII,-58.567405639999997,-34.603094769999998,86
,"1,382","1,382",H. OFTALMOLOGICO Norberto Di Próspero,"84,001,094",MUNI,Caseros,"1,678",Valentín Gómez N° 4545,-, ,TRES DE FEBRERO,VII,-58.559358770000003,-34.605081900000002,87
,"1,383","1,383",H. ODONTOLOGICO Norberto Di Próspero,"84,011,086",MUNI,Caseros,"1,678",Valentín Gómez N° 4545,-, ,TRES DE FEBRERO,VII,-58.559440150000000,-34.605073670000003,88
,"1,384","2,373",C.P.A. (GABA)-Adicciones,"84,001,298",PROV,Caseros,"1,678",Moreno Nº 4897 e/Sarmiento y Andres Ferreira,011-4754314,estadisbocalandro@hotmail.com,TRES DE FEBRERO,VII,-58.565024409999999,-34.607853570000003,89
,"1,385","2,424",U.S. N°15 CIUDADELA SUR,"84,001,306",MUNI,Ciudadela,"1,702","Ignacio Pereyra, 3484", , ,TRES DE FEBRERO,VII,-58.532406629999997,-34.642735289999997,90
,"1,386",0,U.P.A. 16,"84,001,315",PROV,Martin Coronado,"1,682",Av. Pres.Perón Y ANTARTIDA ARG., , ,TRES DE FEBRERO,VII,-58.591020780000001,-34.589988329999997,91
,"1,395","1,750",C.S. Bº MITRE,"40,800,866",MUNI,Hurlingham,"1,686",Palermo N°555 Bo. Bartlomé Mitre,011-44597767,ssalud@munhurli.gov.ar,HURLINGHAM,VII,-58.650279789999999,-34.613043200000000,92
,"1,396","1,751",C.S. SAN JOSE OBRERO,"40,801,021",MUNI,Hurlingham,"1,686",Quequén y Levalle,011-44595993, ,HURLINGHAM,VII,-58.655817429999999,-34.574673689999997,93
,"1,397","1,752",U.S. SAN DAMIAN Y MORRIS,"40,800,661",MUNI,William Morris,"1,686",Ojeda e/Costanera y Albeniz  N° 2381, ,ssalud@munhurli.gov.ar,HURLINGHAM,VII,-58.663645959999997,-34.579720330000001,94
,"1,398","1,753",C.S. 21 DE AGOSTO,"40,801,447",MUNI,Hurlingham,"1,686",Granada N° 2349 Bo. El Destino,011-44526074, ,HURLINGHAM,VII,-58.660729459999999,-34.599820350000002,95
,"1,399","2,352",C.P.A. - Adicciones,"40,801,557",PROV,Hurlingham,"1,686",Eva Perón Nº 546 (ex Villarroel),011-44505383, ,HURLINGHAM,VII,-58.632138200000000,-34.607309160000000,96
,"1,400","2,353",H. MUN. de Oftalmología,"40,801,472",MUNI,Hurlingham,"1,686",Concepción Arenal N° 2951, , ,HURLINGHAM,VII,-58.631963249999998,-34.614153920000000,97
,"1,401","2,354",H. ODONTOLOGICO MUN.,"40,801,531",MUNI,Hurlingham,"1,686",Concepción Arenal N° 2693,011-44590117,ssalud@munhurli.gov.ar,HURLINGHAM,VII,-58.629582339999999,-34.612145519999999,98
,"1,402",0,U.P.A. 9,"40,801,565",PROV,Villa Tessei,0,Aristizábal y Veragua, , ,HURLINGHAM,VII,-58.655813150000000,-34.620747399999999,99
,"1,403","1,564",DIR. SAME,"56,800,998",MUNI,Morón,"1,708",San Martín N° 967,011-08103457263, ,MORON,VII,-58.622841000000001,-34.658790869999997,100
,"1,404","1,626",H.I.G.A. DR. LUIS GÜEMES,"56,800,050",PROV,Haedo,"1,706",Av. Rivadavia N° 15000,011-46592011/6501419, ,MORON,VII,-58.579964429999997,-34.642176350000000,101
,"1,413","1,635",C.A.P.S. Bº MARINA,"56,800,653",MUNI,Castelar Sur,"1,712",Lacarra N° 3535,011-46925398,afomento.lomaverde@hotmail.com,MORON,VII,-58.664260149999997,-34.683429459999999,102
,"1,414","1,636",C.A.P.S. NTRA. SEÑORA DEL VALLE,"56,800,807",MUNI,El Palomar,"1,684",Rafael Castillo N° 951,011-44503673, ,MORON,VII,-58.616482019999999,-34.631173290000000,103
,"1,415","1,637",C.A.P.S. MALVINAS ARGENTINAS,"56,800,696",MUNI,Haedo,"1,706",Monoblock 29 Bo. Carlos Gardel,011-44692021, ,MORON,VII,-58.580760089999998,-34.624439539999997,104
,"1,416","1,638",C.A.P.S. SANTA ROSA,"56,801,340",MUNI,Castelar Sur,"1,712",F. Bottaro N° 3736,011-46925399, ,MORON,VII,-58.661210330000003,-34.675812209999997,105
,"1,417","1,639",H. DR. A. POSADAS,"56,800,297",NAC,Morón,"1,708",Av. Marconi y Pte. Illia,011-44699200/300, ,MORON,VII,-58.575243420000000,-34.630165249999997,106
,"1,418","1,640",C.A.P.S. SAN FRANCISCO,"56,801,307",MUNI,Morón Sur,"1,708",Santa Marta N° 1871,011-46901475,C.A.P.S..ibañez@moron.gov.ar,MORON,VII,-58.642617059999999,-34.700733929999998,107
,"1,419","1,649",C.A.P.S. B.RIVADAVIA,"56,800,904",MUNI,Morón Sur,"1,708",Eva Perón N° 3957 Bo. Texalar,011-46970312/7919, ,MORON,VII,-58.639607490000003,-34.700643589999999,108
,"1,420","1,660",U.S. DE VIAS RESP. Dr. Argerich,"56,800,629",PROV,Morón,"1,708",Cabildo N° 126 Morón Centro,011-46291671,samemoron@moron.gov.ar,MORON,VII,-58.619774790000001,-34.647220130000001,109
,"1,421","1,661",C.A.P.S. SANTA LAURA,"56,801,399",MUNI,Morón,"1,708",Saavedra N° 1265 Bo. Santa Laura, ,viasrespiratoriasmoron@yahoo.com.ar,MORON,VII,-58.597895080000001,-34.657820540000003,110
,"1,431",216,C.S. y SPA Va. Augusta,"65,801,039",MUNI,Ezpeleta,"1,882",Bahía Blanca N° 4735, , ,QUILMES,VI,-58.246922210000001,-34.755318199999998,111
,"1,432",217,U.S. Antartida Argentina,"65,800,725",MUNI,Ezpeleta,"1,882",Av. Antartida  Argentina N° 1275,011-42787243, ,QUILMES,VI,-58.229975779999997,-34.737235220000002,112
,"1,433",694,EQUIPO MOVIL de la Secretaría de Salud,"65,801,497",MUNI,Quilmes,"1,878",Alberdi N° 500, , ,QUILMES,VI,-58.255421439999999,-34.714167089999997,113
,"1,434",695,P.S. General Belgrano,"65,801,519",MUNI,Quilmes Oeste,"1,881",Camino Gral Belgrano e/853 y 855, , ,QUILMES,VI,-58.280726139999999,-34.770947900000003,114
,"1,435",696,SAMYL DIR. SALUD MENTAL,"65,801,543",MUNI,Quilmes,"1,878",Torcuato deAlvear e Islas Malvinas, , ,QUILMES,VI,-58.269646700000003,-34.726720620000002,115
,"1,436",697,P.S. Isidoro Iriarte,"65,801,733",MUNI,San Francisco Solano,"1,879",Calle 321 e/Camino Gral. Belgrano y Chile, , ,QUILMES,VI,-58.301025959999997,-34.754426400000000,116
,"1,437",698,SUBSEC. de Transporte y Educación Vial,"65,800,223",MUNI,Quilmes,"1,878",Hipólito Irigoyen N° 280, , ,QUILMES,VI,-58.264375540000003,-34.717904910000001,117
,"1,438",699,U.S. Maria Eva (ex. Santa Maria),"65,802,263",MUNI,Quilmes,"1,878",Pampa N° 4326 e/ 172 y 172 bis, , ,QUILMES,VI,-58.322625180000003,-34.723510939999997,118
,"1,439",700,U.S. .Dr.Ramón Carrillo,"65,802,280",MUNI,Quilmes Oeste,"1,879",T. De Alvear N° 1089, , ,QUILMES,VI,-58.269711110000003,-34.726633090000000,119
,"1,440",867,H.Z.G.A. DR. ISIDORO IRIARTE,"65,800,172",PROV,Quilmes,"1,878",Allison Bell N° 770,011-42536021/23, ,QUILMES,VI,-58.246914699999998,-34.720428259999998,120
,"1,450","1,651",U.S. DE LA TERCERA EDAD,"41,001,550",MUNI,Ituzaingó,"1,714",Soler N° 255, , ,ITUZAINGO,VII,-58.668349280000001,-34.657621820000003,121
,"1,451","2,355",C.P.A. (GABA)-Adicciones,"41,001,746",PROV,Ituzaingó,"1,714",Alvear Nº 1747,011-44582612, ,ITUZAINGO,VII,-58.679195510000000,-34.660642279999998,122
,"1,452",0,Complejo geríatrico Martin Rodriguez Viamonte,"41,001,780",N/C,Ituzaingó,"1,714",Ventura Alegre 799, , ,ITUZAINGO,VII,-58.667727579999998,-34.668371770000000,123
,"1,453",0,U.S. LAS CABAÑAS,"41,000,840",MUNI,Ituzaingó,"1,714",Las Cabañas y Resbalosa, , ,ITUZAINGO,VII,-58.688440649999997,-34.601841200000003,124
,"1,454",0,U.S. LA LOMA,"41,001,161",MUNI,Ituzaingó,"1,714",Martinez Nº 2020, , ,ITUZAINGO,VII,-58.681355539999998,-34.666736210000003,125
,"1,455",0,U.S.VILLA ARIZA,"41,001,226",MUNI,Ituzaingó,"1,714",Lavalleja N° 748 e/Serrano y B. Sur Mer, , ,ITUZAINGO,VII,-58.668086140000000,-34.640990019999997,126
,"1,456",0,U.S. OPERATIVO LA UNION,"41,001,480",MUNI,Ituzaingó,"1,714",Barrio La Unión, , ,ITUZAINGO,VII,-58.717238999999999,-34.634260879999999,127
,"1,457",0,U.S. E. GORKIN,"41,000,688",MUNI,Villa Udaondo,"1,763",R.Balbin Nº 4488, , ,ITUZAINGO,VII,-58.692711950000003,-34.605193210000003,128
